iter	R2	RMSE
0	0.01536481496	2.485448286
1	0.03159860597	2.464874199
2	0.04685015681	2.445387266
3	0.06183005569	2.426095061
4	0.07897289065	2.403827297
5	0.09233981231	2.386320099
6	0.1027152128	2.372641969
7	0.116442311	2.354423106
8	0.1260589463	2.34157529
9	0.1404505291	2.322215367
10	0.1511031363	2.307780612
11	0.1631425389	2.291357229
12	0.1715797234	2.279777253
13	0.1815597863	2.266003289
14	0.1895108879	2.254969377
15	0.2000743624	2.240226158
16	0.2093480899	2.227202565
17	0.2174472328	2.215765886
18	0.2242785497	2.206073391
19	0.2321939159	2.194789281
20	0.2401827005	2.183341374
21	0.2478662235	2.172273989
22	0.2553445684	2.161447726
23	0.262271066	2.151371764
24	0.2688729396	2.14172391
25	0.2765366848	2.13046946
26	0.2826908402	2.121388666
27	0.2891811614	2.111769536
28	0.2981471728	2.098408722
29	0.3085432855	2.082809525
30	0.3156495835	2.07207907
31	0.3226177192	2.061503004
32	0.3276002469	2.053907253
33	0.3333373198	2.045126273
34	0.3404185597	2.034235688
35	0.3464433994	2.024923677
36	0.352282418	2.015857825
37	0.3585766697	2.006039277
38	0.3670537789	1.992739189
39	0.3737591276	1.982155676
40	0.3789379976	1.973942672
41	0.3850195621	1.964254273
42	0.3937801175	1.950213435
43	0.3984556687	1.942678238
44	0.4059406729	1.930554051
45	0.4117158054	1.921147217
46	0.4171331746	1.912281065
47	0.4192576337	1.9087929
48	0.4240361063	1.9009237
49	0.430073483	1.89093451
50	0.4333674789	1.885462088
51	0.4399274913	1.874516138
52	0.4438231243	1.867985583
53	0.4477184598	1.861432617
54	0.4538573063	1.851058397
55	0.458435885	1.843282906
56	0.4637731779	1.834177336
57	0.4680084383	1.826919569
58	0.4717773395	1.820436649
59	0.4770300033	1.811362793
60	0.4803678303	1.805573079
61	0.4833160383	1.800443704
62	0.4862037841	1.795405315
63	0.4891177846	1.790306746
64	0.492843437	1.783766818
65	0.496072746	1.7780787
66	0.4984380248	1.773900916
67	0.5033557328	1.765183134
68	0.505611081	1.761170572
69	0.5104179062	1.752587939
70	0.5135213376	1.747024333
71	0.5166524492	1.741393091
72	0.521452487	1.732724785
73	0.5240373776	1.728038763
74	0.5282977064	1.720287564
75	0.5323376431	1.712904944
76	0.5368072782	1.704699835
77	0.5400563984	1.698710404
78	0.5446060451	1.690287916
79	0.5484276341	1.683180668
80	0.5509857848	1.6784063
81	0.5539627415	1.672833145
82	0.5565726548	1.667931811
83	0.5610021327	1.659580262
84	0.5637653691	1.654348971
85	0.5669954296	1.648212851
86	0.5705274851	1.64147678
87	0.5734605693	1.635861941
88	0.5754150601	1.632109711
89	0.578734018	1.625718138
90	0.58093034	1.621474659
91	0.5835807141	1.61633908
92	0.5858676197	1.611894636
93	0.5884795511	1.60680349
94	0.5916289338	1.600643215
95	0.5948372282	1.594343233
96	0.5971137338	1.58985782
97	0.6017125622	1.580757898
98	0.6063591453	1.571509964
99	0.6086402236	1.566950039
100	0.6116533708	1.560906273
101	0.6132417418	1.557710882
102	0.6157772634	1.552596441
103	0.6182384947	1.547615687
104	0.6224269498	1.539102523
105	0.62558064	1.532661345
106	0.6281909639	1.527309405
107	0.6300740681	1.523436807
108	0.6329317836	1.517541046
109	0.6349944872	1.513271203
110	0.6375992991	1.507861909
111	0.640552172	1.501706248
112	0.642195228	1.498270126
113	0.6450297539	1.492323685
114	0.646458166	1.489318078
115	0.650169891	1.481479508
116	0.6525728151	1.476382724
117	0.6537197398	1.473943796
118	0.6567323026	1.467518296
119	0.6587477765	1.463203734
120	0.6596529341	1.461261902
121	0.6629607762	1.454143542
122	0.6656684571	1.448290668
123	0.6678994707	1.443450316
124	0.6703463603	1.438122872
125	0.6715310176	1.435536497
126	0.6751612589	1.427581677
127	0.6780938436	1.421123095
128	0.6815813962	1.413403859
129	0.6840069822	1.408010194
130	0.6851545628	1.405451158
131	0.687709175	1.399737728
132	0.6902693372	1.393988391
133	0.6932386712	1.387290336
134	0.697150739	1.37841603
135	0.7005739198	1.370603601
136	0.7035592921	1.363753809
137	0.7052740206	1.359803848
138	0.7068149979	1.356244316
139	0.7101929488	1.34840865
140	0.7109238042	1.346707322
141	0.7136000308	1.340459014
142	0.7158560448	1.335169081
143	0.7209691692	1.32310147
144	0.7224798964	1.319514845
145	0.7233918939	1.317344939
146	0.7241555963	1.315525118
147	0.7266800254	1.309491675
148	0.7289114126	1.304135368
149	0.7304998937	1.300308874
150	0.7328821711	1.294549001
151	0.7361342473	1.286644504
152	0.736828288	1.284951272
153	0.7376694179	1.282896196
154	0.7411573159	1.274339084
155	0.7417647122	1.272843034
156	0.7434513282	1.268679555
157	0.7458942576	1.262624743
158	0.7465232495	1.261061077
159	0.7484062323	1.256368373
160	0.7513786612	1.248924705
161	0.7520312149	1.247284608
162	0.7532762224	1.24414947
163	0.7554812431	1.238577384
164	0.7568223118	1.235176211
165	0.7598539855	1.227452649
166	0.7617976327	1.222475299
167	0.7642871307	1.21607036
168	0.7659883165	1.211674105
169	0.7665329022	1.210263396
170	0.7674537905	1.207874154
171	0.7695461103	1.20242799
172	0.7709453779	1.198771987
173	0.7720262402	1.195940262
174	0.7732888977	1.192623741
175	0.7761845554	1.184982896
176	0.7804182914	1.173721705
177	0.7833003178	1.165993671
178	0.7838826052	1.164426063
179	0.78473641	1.162123666
180	0.7860646551	1.158532781
181	0.7869445092	1.156147971
182	0.788297223	1.152471869
183	0.7900188899	1.14777608
184	0.7916985281	1.143176334
185	0.7935962891	1.137956882
186	0.7971338087	1.128163108
187	0.7977347709	1.126490857
188	0.7990137929	1.122923532
189	0.8006448424	1.118357859
190	0.8025672042	1.11295269
191	0.8042738932	1.108131843
192	0.805598135	1.104376786
193	0.8072072305	1.099796737
194	0.8094471226	1.09338928
195	0.8116409054	1.087077115
196	0.8128914844	1.083462371
197	0.8150237197	1.077271268
198	0.8169033283	1.071784028
199	0.8188820184	1.065977016
200	0.8204948659	1.061220164
201	0.8224839131	1.05532424
202	0.8236733297	1.051782787
203	0.8240521321	1.050652408
204	0.8252121916	1.047183099
205	0.8269038986	1.042103127
206	0.8285188849	1.037230325
207	0.8296162293	1.033906269
208	0.8300840852	1.032485794
209	0.8308898614	1.030034755
210	0.8328810527	1.023952714
211	0.8338378615	1.02101728
212	0.835383599	1.016257134
213	0.837887468	1.008498718
214	0.8396536376	1.002990021
215	0.8411286729	0.9983660808
216	0.8414907119	0.9972278842
217	0.8425556266	0.9938723955
218	0.8434140786	0.9911591899
219	0.8459878969	0.9829795473
220	0.8476126827	0.9777807158
221	0.8492395629	0.9725473389
222	0.8504977608	0.9684805532
223	0.8508125713	0.9674603393
224	0.8513432451	0.9657381325
225	0.8535092963	0.9586765153
226	0.8541724996	0.9565039587
227	0.8555094254	0.9521093171
228	0.8576504914	0.9450287958
229	0.859130711	0.9401025209
230	0.8596373986	0.9384102876
231	0.8614367839	0.9323758872
232	0.8623285037	0.9293709049
233	0.8635086516	0.925378954
234	0.8649104306	0.9206148259
235	0.8660519467	0.916716945
236	0.8675350686	0.9116277053
237	0.8683940078	0.9086672756
238	0.870363014	0.9018442041
239	0.8710842512	0.8993319936
240	0.8715491055	0.8977090893
241	0.8730127305	0.8925799938
242	0.8744281885	0.8875915022
243	0.8754811226	0.8838623899
244	0.8764247108	0.8805071233
245	0.877506938	0.8766430648
246	0.8785720451	0.8728234307
247	0.8797838798	0.8684571792
248	0.8805276381	0.8657665069
249	0.8808162454	0.8647201662
250	0.882072299	0.8601515413
251	0.8833615031	0.8554369652
252	0.8841189135	0.8526549843
253	0.8847806146	0.8502170954
254	0.8857103501	0.8467798345
255	0.8858590513	0.8462287866
256	0.8863316995	0.8444748876
257	0.8869253618	0.8422667554
258	0.8880848552	0.8379372291
259	0.8892843985	0.8334344878
260	0.8902445784	0.8298126424
261	0.8917652254	0.8240441193
262	0.8926894676	0.8205182229
263	0.8934050515	0.8177778965
264	0.8938949738	0.815896433
265	0.8948390475	0.8122585873
266	0.8959430522	0.8079836958
267	0.8969609903	0.8040219291
268	0.8973890591	0.8023500625
269	0.8981017967	0.7995586372
270	0.899018456	0.7959541643
271	0.8995910602	0.7936942729
272	0.8998858797	0.792528199
273	0.9001922259	0.7913147134
274	0.9009405207	0.788342747
275	0.9016636803	0.7854599241
276	0.9027234711	0.7812159264
277	0.9034176133	0.7784236508
278	0.9039608706	0.7762313219
279	0.9046586439	0.7734063232
280	0.9054058686	0.770369629
281	0.9058139573	0.7687061063
282	0.906075985	0.7676360828
283	0.9072757579	0.762717484
284	0.908137652	0.759164387
285	0.9090339894	0.7554515739
286	0.9096991325	0.7526845771
287	0.9105815171	0.7489980801
288	0.9115352405	0.7449930249
289	0.9122658129	0.7419104428
290	0.9124232128	0.7412446304
291	0.9125816	0.7405740372
292	0.9132829533	0.7375972611
293	0.9134578884	0.7368529046
294	0.9138867442	0.7350249151
295	0.9146617537	0.7317098694
296	0.9154073339	0.7285064687
297	0.9156891768	0.72729185
298	0.9169175293	0.7219743317
299	0.9172570153	0.7204977806
300	0.917890574	0.7177340729
301	0.9182880167	0.7159949047
302	0.9183990304	0.7155083648
303	0.9192157669	0.7119186321
304	0.920263087	0.7072887739
305	0.9209645964	0.7041706079
306	0.9210508823	0.7037861183
307	0.9215513913	0.7015516957
308	0.92207595	0.6992022449
309	0.922760156	0.696125832
310	0.9237661092	0.6915778876
311	0.9245908824	0.687826629
312	0.9249416227	0.686225167
313	0.9256599466	0.6829336154
314	0.926145479	0.680699762
315	0.9271463227	0.6760717587
316	0.9281646147	0.6713303302
317	0.9287910016	0.6683970041
318	0.9295053841	0.6650358082
319	0.9302664945	0.6614359638
320	0.9309300963	0.658281244
321	0.9318380058	0.653940447
322	0.9323894948	0.6512896046
323	0.9325882012	0.6503318347
324	0.9331485728	0.6476231992
325	0.9336110349	0.645379261
326	0.9342970282	0.6420362696
327	0.9350534938	0.6383295543
328	0.9354520385	0.6363679836
329	0.9357515776	0.6348897123
330	0.9361936572	0.6327016725
331	0.9369422653	0.6289791344
332	0.9374409902	0.6264868921
333	0.9379328554	0.6240191805
334	0.9380840173	0.6232588313
335	0.9389330031	0.6189710508
336	0.938986671	0.6186990038
337	0.9392770721	0.6172248574
338	0.9396544718	0.6153038072
339	0.940107013	0.6129923325
340	0.9403751228	0.6116187697
341	0.9404648762	0.6111582608
342	0.9411028347	0.6078749575
343	0.9414706501	0.6059738819
344	0.94194803	0.6034975857
345	0.9425548384	0.6003351655
346	0.943075576	0.5976079664
347	0.9433535729	0.5961469371
348	0.9440196858	0.5926314864
349	0.9446430135	0.5893228437
350	0.9449626425	0.5876190178
351	0.945628475	0.5840537451
352	0.9461418627	0.5812898244
353	0.9466687552	0.5784394653
354	0.9475277081	0.5737623846
355	0.9481154775	0.5705398294
356	0.9481766792	0.570203233
357	0.948673107	0.5674656052
358	0.9493532575	0.5636932246
359	0.9498535887	0.5609019958
360	0.9502941657	0.5584325693
361	0.950450189	0.5575554393
362	0.950847403	0.5553161327
363	0.9512756214	0.5528918784
364	0.9518414214	0.5496723433
365	0.9520890175	0.5482575165
366	0.95266569	0.5449480231
367	0.9529534971	0.5432887713
368	0.9534981022	0.5401350931
369	0.9538394115	0.5381492314
370	0.9541829465	0.5361429924
371	0.9546124695	0.533623974
372	0.954827708	0.5323571845
373	0.9550525855	0.5310304359
374	0.9554338444	0.5287734515
375	0.9557186672	0.5270810446
376	0.9561778013	0.5243413862
377	0.9565242557	0.5222645748
378	0.9567633783	0.520826331
379	0.9568412607	0.5203570357
380	0.9574107445	0.5169125542
381	0.9578346322	0.5143337252
382	0.9579857364	0.5134113125
383	0.9583988319	0.5108810792
384	0.9587874353	0.5084893684
385	0.9590785129	0.5066904975
386	0.9594944985	0.5041085491
387	0.9597093123	0.5027700466
388	0.9599083131	0.5015268871
389	0.9599870401	0.5010342275
390	0.9603423331	0.498804814
391	0.9604331321	0.4982334628
392	0.9607761203	0.496069276
393	0.961143875	0.4937382798
394	0.9615753714	0.4909891498
395	0.9620428672	0.4879931831
396	0.9621105417	0.4875579633
397	0.9625368526	0.4848073403
398	0.9628539264	0.4827513683
399	0.9629630183	0.4820419663
400	0.9631728805	0.4806743322
401	0.963520595	0.4783997331
402	0.9639218127	0.4757616268
403	0.9641705913	0.4741184723
404	0.9644985265	0.4719437566
405	0.9647205595	0.4704656289
406	0.9650866923	0.4680179973
407	0.9654721985	0.4654269416
408	0.9657965083	0.4632359734
409	0.9660059009	0.461815839
410	0.9662661104	0.4600449477
411	0.9664519886	0.4587757428
412	0.9667469456	0.4567544919
413	0.9669889642	0.4550893075
414	0.9672219114	0.4534807625
415	0.9675379912	0.4512890037
416	0.9677808112	0.449597986
417	0.9680008054	0.4480604181
418	0.9682912132	0.4460226042
419	0.9684377472	0.4449908215
420	0.9684759961	0.4447211068
421	0.9686718586	0.4433374012
422	0.9688603564	0.4420016336
423	0.9690322757	0.4407798187
424	0.9691327093	0.4400644762
425	0.9693583481	0.4384530984
426	0.9696716982	0.4362054653
427	0.9700063304	0.4337923185
428	0.9702984329	0.4316748412
429	0.9703158307	0.4315483954
430	0.9705846893	0.4295896168
431	0.9708386278	0.427731302
432	0.9710541265	0.4261479326
433	0.9711159756	0.4256924106
434	0.971354311	0.4239324805
435	0.9715077734	0.4227953971
436	0.9716586599	0.4216744106
437	0.9719192531	0.4197313263
438	0.9720034508	0.4191015893
439	0.972247561	0.4172704542
440	0.972468366	0.4156071872
441	0.9727082032	0.4137929818
442	0.9729902195	0.4116494918
443	0.9732928103	0.4093371406
444	0.9735035277	0.4077191259
445	0.9736509851	0.4065830296
446	0.9738922035	0.4047176695
447	0.9740588021	0.4034243139
448	0.9742295868	0.4020941427
449	0.9744336101	0.4004992989
450	0.9747596201	0.3979376211
451	0.9748705146	0.3970624823
452	0.9750720581	0.395467017
453	0.9753084608	0.3935873556
454	0.9755506592	0.3916522563
455	0.9757011858	0.3904447576
456	0.9758214066	0.3894776778
457	0.9761050719	0.3871862443
458	0.9764072837	0.384729979
459	0.9766040159	0.3831225497
460	0.9767919997	0.3815802746
461	0.9770109926	0.3797756936
462	0.9771437923	0.3786771873
463	0.9772832588	0.3775200927
464	0.9773888259	0.3766418831
465	0.9774604488	0.3760448874
466	0.977669766	0.3742947131
467	0.9778129131	0.3730930838
468	0.977850272	0.3727788415
469	0.9781309881	0.3704090904
470	0.978275702	0.3691815018
471	0.9784424219	0.3677621586
472	0.9786147744	0.3662890819
473	0.9788610566	0.3641737967
474	0.9788817136	0.3639958179
475	0.9791120847	0.3620050297
476	0.9793023256	0.3603527419
477	0.9794582782	0.3589925841
478	0.9795362216	0.3583108572
479	0.9796557234	0.3572631156
480	0.9798229489	0.3557917739
481	0.9798422167	0.3556218537
482	0.9799162396	0.3549683005
483	0.9801299023	0.3530750728
484	0.9801613401	0.3527956499
485	0.9802903238	0.3516469065
486	0.980318866	0.3513921987
487	0.9805398276	0.3494140774
488	0.9805688794	0.3491531624
489	0.9806882841	0.3480787313
490	0.9808123301	0.3469590138
491	0.9809492169	0.3457191785
492	0.9812066898	0.3433750195
493	0.9815036826	0.3406510172
494	0.9816972076	0.3388642335
495	0.9817942134	0.3379650416
496	0.981971562	0.3363148979
497	0.9820920114	0.3351895423
498	0.9822032847	0.3341465507
499	0.9824328751	0.3319841886
500	0.9826145924	0.3302626752
501	0.9826268258	0.3301464583
502	0.9828468423	0.3280492855
503	0.9829929432	0.326649229
504	0.9831917094	0.3247347989
505	0.9832665329	0.3240112002
506	0.9834084118	0.3226346707
507	0.983582077	0.3209417111
508	0.9836217037	0.3205541603
509	0.9838047405	0.3187579396
510	0.983843975	0.3183715956
511	0.9838593285	0.3182202812
512	0.9838771144	0.3180449041
513	0.9840102897	0.3167286528
514	0.9840691645	0.3161450113
515	0.9842783292	0.3140627328
516	0.9844105478	0.3127393169
517	0.9845999687	0.3108335283
518	0.9846582365	0.310244933
519	0.9848203958	0.3086009649
520	0.9849384205	0.3073989047
521	0.9851170737	0.3055703564
522	0.9851346187	0.3053901899
523	0.9853052389	0.3036325454
524	0.985391992	0.3027349454
525	0.98547965	0.3018252708
526	0.9855216768	0.3013881622
527	0.9856060335	0.3005088726
528	0.9857445782	0.2990591481
529	0.9858005255	0.2984717227
530	0.9858985644	0.2974395533
531	0.9860309121	0.2960404676
532	0.9861650277	0.2946159143
533	0.9862689481	0.2935073354
534	0.986373079	0.2923922961
535	0.9865139801	0.2908767128
536	0.98663432	0.2895760132
537	0.9867631993	0.2881765055
538	0.9868062623	0.2877073648
539	0.9869054882	0.2866234448
540	0.9869694805	0.2859222294
541	0.9870683591	0.2848353416
542	0.9870888317	0.2846097845
543	0.9871897454	0.2834953483
544	0.9872430187	0.282905256
545	0.9872715165	0.282589088
546	0.9873798636	0.2813837938
547	0.9873905433	0.2812647084
548	0.9874563725	0.2805295601
549	0.9875383909	0.2796109136
550	0.9876233851	0.2786557405
551	0.9876875104	0.277932923
552	0.9878535342	0.276052714
553	0.9879448733	0.2750128235
554	0.9880284787	0.274057522
555	0.9881381876	0.2727988789
556	0.9881877058	0.2722288714
557	0.988199515	0.2720927592
558	0.988353941	0.270306537
559	0.9884731767	0.2689192391
560	0.9885344346	0.2682037176
561	0.988629618	0.2670881274
562	0.9887583588	0.2655717745
563	0.9888206937	0.264834453
564	0.9889134448	0.2637335426
565	0.9889610283	0.2631669616
566	0.9890754585	0.261799411
567	0.9891814049	0.2605268511
568	0.9892137671	0.260136895
569	0.9892496507	0.2597038241
570	0.989310837	0.2589637088
571	0.9893966443	0.2579221975
572	0.9894337559	0.2574704398
573	0.9895393134	0.2561811382
574	0.9895796299	0.2556869887
575	0.9896714269	0.2545582753
576	0.989684841	0.2543929189
577	0.9897744453	0.2532855964
578	0.9897859085	0.2531435858
579	0.9898800242	0.251974616
580	0.9899963861	0.2505217958
581	0.9901058753	0.2491470473
582	0.9902743585	0.247016626
583	0.9903483894	0.2460746931
584	0.9903595353	0.2459325658
585	0.9904181061	0.2451843434
586	0.9904379501	0.2449303245
587	0.9905408287	0.2436091527
588	0.9906112377	0.242700811
589	0.9907256139	0.241217961
590	0.9908117483	0.2400952109
591	0.9908967139	0.238982528
592	0.9909469743	0.2383218884
593	0.9910251887	0.2372901545
594	0.9910966991	0.2363429114
595	0.9911892005	0.235111956
596	0.9912810854	0.2338827908
597	0.9913368963	0.2331330326
598	0.9914082402	0.2321710792
599	0.9915170505	0.2306962292
600	0.9915741478	0.2299185307
601	0.991648783	0.2288979694
602	0.9916762282	0.2285215386
603	0.9917316546	0.2277594263
604	0.9917473088	0.2275437203
605	0.9918288488	0.2264168161
606	0.991892428	0.2255342293
607	0.9919635452	0.2245428904
608	0.9920368291	0.2235167505
609	0.9921063554	0.2225388509
610	0.9921376544	0.2220972191
611	0.9921551242	0.2218503372
612	0.9921843745	0.2214363556
613	0.9922235704	0.2208803993
614	0.9922553541	0.220428547
615	0.9923145097	0.2195850883
616	0.9923493095	0.2190873851
617	0.9924180085	0.218101525
618	0.9924487891	0.2176583617
619	0.9925125881	0.2167369304
620	0.9925661725	0.2159599881
621	0.9926480694	0.2147671009
622	0.9926786031	0.214320656
623	0.9927422356	0.2133872616
624	0.9927932777	0.2126355864
625	0.9928333886	0.2120430221
626	0.9928821559	0.2113203349
627	0.992925846	0.2106707838
628	0.9929838831	0.209804821
629	0.9930374409	0.2090025114
630	0.9930718914	0.2084848004
631	0.9931185018	0.2077823029
632	0.9931600252	0.2071544683
633	0.9932066549	0.2064471508
634	0.9932154343	0.2063137075
635	0.9932495507	0.2057943254
636	0.9932614104	0.2056134691
637	0.9933216704	0.2046920522
638	0.9933622321	0.2040694943
639	0.9934103644	0.2033282659
640	0.9934292667	0.2030364329
641	0.9934599902	0.2025611973
642	0.9934667584	0.2024563559
643	0.9934868501	0.2021448093
644	0.9935547125	0.2010889487
645	0.9935664559	0.2009056713
646	0.9936258197	0.1999766223
647	0.9936530417	0.1995491487
648	0.99365703	0.1994864428
649	0.9937096393	0.1986574383
650	0.9937657795	0.1977689624
651	0.9937897827	0.1973878666
652	0.9938388795	0.1966060637
653	0.9939013174	0.1956073058
654	0.9939643556	0.1945937454
655	0.9940014476	0.1939948871
656	0.9940355284	0.1934430116
657	0.9940819529	0.1926887079
658	0.9941067675	0.1922843085
659	0.9941486171	0.1916003581
660	0.9941833435	0.1910309623
661	0.9942362428	0.1901603185
662	0.9942774225	0.1894797917
663	0.9943583124	0.1881358555
664	0.9943701088	0.1879390627
665	0.994407967	0.1873060984
666	0.9944422422	0.1867311899
667	0.9945074168	0.185633083
668	0.9945408541	0.1850671796
669	0.9945444284	0.185006585
670	0.994568228	0.1846026033
671	0.9946388786	0.1833981194
672	0.9946635212	0.1829761348
673	0.9946977785	0.1823878852
674	0.9947409594	0.1816436905
675	0.9947827021	0.1809213725
676	0.9948433332	0.1798670411
677	0.9948808661	0.1792112634
678	0.9949190252	0.1785420747
679	0.9949604847	0.1778121527
680	0.9950136146	0.1768723624
681	0.9950673769	0.1759162751
682	0.995091801	0.1754802065
683	0.9951250547	0.174884746
684	0.995173997	0.1740046479
685	0.995179899	0.1738982159
686	0.9952247241	0.1730877332
687	0.9952686059	0.1722906142
688	0.9953068966	0.171592032
689	0.9953514513	0.1707755721
690	0.9954165374	0.1695758103
691	0.9954228388	0.1694592038
692	0.9954586756	0.1687945105
693	0.9954767953	0.1684574322
694	0.9955162121	0.1677218273
695	0.9955605971	0.1668896246
696	0.9955651796	0.1668034671
697	0.9956237438	0.1656984422
698	0.9956636338	0.1649415338
699	0.9956681418	0.1648557783
700	0.9956919783	0.1644015829
701	0.9957106403	0.16404511
702	0.9957437001	0.1634117067
703	0.9957815802	0.1626829175
704	0.9957853978	0.1626092889
705	0.9958267306	0.1618099657
706	0.9958769153	0.1608341187
707	0.995909107	0.1602050186
708	0.9959328702	0.15973904
709	0.9959600359	0.1592046725
710	0.9959666385	0.1590745237
711	0.9960080719	0.1582553541
712	0.9960346108	0.1577284239
713	0.99605293	0.1573636672
714	0.9960733459	0.1569561642
715	0.9960885223	0.1566525555
716	0.9961089911	0.1562421358
717	0.9961309168	0.1558013055
718	0.996170419	0.1550039217
719	0.9962014122	0.1543754153
720	0.9962224497	0.1539473374
721	0.9962263545	0.1538677515
722	0.9962613537	0.1531525545
723	0.9962798418	0.1527734047
724	0.9963116986	0.1521178784
725	0.9963505211	0.1513151756
726	0.9963793383	0.15071658
727	0.9963979015	0.1503297191
728	0.9964205109	0.1498571878
729	0.9964461263	0.1493200242
730	0.996476913	0.148671848
731	0.9964959372	0.1482699008
732	0.9965377459	0.1473827047
733	0.9965680947	0.1467353332
734	0.9965897441	0.1462717774
735	0.9966152003	0.1457248245
736	0.9966366468	0.1452624274
737	0.9966632763	0.1446862236
738	0.9966658471	0.1446304753
739	0.9966798206	0.144327081
740	0.9966856837	0.1441995919
741	0.9967041905	0.1437964317
742	0.9967288358	0.1432577839
743	0.9967589767	0.1425962587
744	0.9967776192	0.1421855582
745	0.9967968388	0.1417608966
746	0.9968176133	0.1413004456
747	0.9968560059	0.1404455277
748	0.9968828329	0.1398450508
749	0.996888618	0.1397152216
750	0.9969133676	0.1391584261
751	0.9969284739	0.138817482
752	0.9969534807	0.1382512352
753	0.9969867294	0.1374947513
754	0.9970061479	0.1370510055
755	0.9970387202	0.1363034279
756	0.997065413	0.1356877229
757	0.9970943401	0.1350173075
758	0.9971224617	0.1343623566
759	0.9971363359	0.1340380485
760	0.9971431263	0.1338790352
761	0.997165461	0.1333546829
762	0.9971885895	0.1328095135
763	0.9972024343	0.1324820996
764	0.9972299055	0.1318300284
765	0.9972684351	0.1309099978
766	0.9972942741	0.1302893606
767	0.9973200144	0.1296681425
768	0.9973213344	0.1296362049
769	0.997347687	0.128996951
770	0.9973683437	0.1284936422
771	0.9973824749	0.1281481918
772	0.9973966711	0.1278002113
773	0.9974177807	0.127281012
774	0.9974356094	0.1268408496
775	0.9974498428	0.1264883502
776	0.9974721654	0.1259335311
777	0.997488067	0.1255368088
778	0.9974958176	0.1253429865
779	0.9975081448	0.1250340945
780	0.9975437858	0.1241366933
781	0.997570078	0.1234705051
782	0.997586375	0.1230557606
783	0.9975884936	0.1230017427
784	0.9976139033	0.1223520018
785	0.9976385255	0.1217190875
786	0.9976533023	0.1213376635
787	0.9976797348	0.120652372
788	0.9976938381	0.1202851333
789	0.9977112525	0.1198301202
790	0.9977280384	0.1193898884
791	0.9977310619	0.1193104218
792	0.9977547879	0.1186849758
793	0.9977605251	0.1185332409
794	0.9977701957	0.1182770345
795	0.9977744137	0.1181651139
796	0.9977828754	0.117940267
797	0.9978024777	0.1174177366
798	0.9978304113	0.1166690761
799	0.9978445098	0.1162893862
800	0.9978530987	0.1160574697
801	0.997871538	0.1155579961
802	0.9978866433	0.1151472215
803	0.997896926	0.1148667503
804	0.9979084846	0.1145506589
805	0.9979331938	0.1138719953
806	0.9979511406	0.113376523
807	0.9979571899	0.1132090272
808	0.9979596214	0.1131416303
809	0.9979885263	0.1123373663
810	0.9980051053	0.1118734539
811	0.9980233945	0.1113594439
812	0.9980336059	0.1110714223
813	0.99804514	0.1107451928
814	0.9980613835	0.1102841257
815	0.9980826264	0.1096782284
816	0.9980874316	0.1095407074
817	0.9981041233	0.1090616597
818	0.998111615	0.1088459644
819	0.9981338491	0.1082032827
820	0.9981419321	0.107968694
821	0.9981538924	0.1076206366
822	0.9981697685	0.1071568816
823	0.9981858331	0.1066855678
