市区町村コード,市区町村名,都道府県名,2018_15〜64歳人口,2018_15歳未満人口,2018_65歳以上人口,2018_出生数,2018_出生率[‰],2018_年少人口率[%],2018_死亡数,2018_死亡率[‰],2018_生産年齢人口率[%],2018_総人口,2018_転入率[‰],2018_転入者数,2018_転入超過率[‰],2018_転出率[‰],2018_転出者数,2018_高齢化率[%],スーパー件数,スーパー密度[件/km²],2018年総人口あたりのスーパー密度,2023年総人口あたりのスーパー密度,住宅地価_log中央値_2018,住宅地価_log中央値_2023,住宅地価_log差分,住宅地価_中央値_2018,住宅地価_中央値_2023,住宅地価_増減率[%],学校件数,学校密度[件/km²],2018年総人口あたりの学校密度,2023年総人口あたりの学校密度,平均気温,年最深積雪,年降水量,最低気温,最高気温,centroid_lat,centroid_lon,centroid_lat_std,centroid_lon_std,標準地点数_2018,標準地点数_2023,病院件数,病院密度[件/km²],2018年総人口あたりの病院密度,2023年総人口あたりの病院密度,空き家_2018,空き家_2023,空き家_増加率_5年_%,空き家率_2018,空き家率_2023,空き家率_差分_5年_pt,住宅総数_2018,住宅総数_2023,過疎地域市町村,都市種別,都道府県コード,駅件数,駅密度[件/km²],2018年総人口あたりの駅密度,2023年総人口あたりの駅密度,住民基本台帳登載人口_2018,住民基本台帳登載人口_2023,地方税_2018,地方税_2023,地方税_変化量,地方税_変化率,地方税_ログ差分,地方交付税_2018,地方交付税_2023,地方交付税_変化量,地方交付税_変化率,地方交付税_ログ差分,民生費_2018,民生費_2023,民生費_変化量,民生費_変化率,民生費_ログ差分,教育費_2018,教育費_2023,教育費_変化量,教育費_変化率,教育費_ログ差分,土木費_2018,土木費_2023,土木費_変化量,土木費_変化率,土木費_ログ差分,人件費_2018,人件費_2023,人件費_変化量,人件費_変化率,人件費_ログ差分,公債費_2018,公債費_2023,公債費_変化量,公債費_変化率,公債費_ログ差分,扶助費_2018,扶助費_2023,扶助費_変化量,扶助費_変化率,扶助費_ログ差分,地方債現在高_2018,地方債現在高_2023,地方債現在高_変化量,地方債現在高_変化率,地方債現在高_ログ差分,住宅総数_2023_raw,空き家_2023_raw,空き家率_2023_raw,2023_総人口,2023_15歳未満人口,2023_15〜64歳人口,2023_65歳以上人口,2023_出生数,2023_死亡数,2023_転入者数,2023_転出者数,2023_高齢化率[%],2023_年少人口率[%],2023_生産年齢人口率[%],2023_出生率[‰],2023_死亡率[‰],2023_転入率[‰],2023_転出率[‰],2023_転入超過率[‰]
5434,美郷町,秋田県,10750,1972,7207,91.0,4.553870790171646,9.868388129910423,300.0,15.012760846719711,53.7957263674123,19983,16.163739178301558,323.0,-1.951658910073558,18.115398088375116,362.0,36.06565580743632,4.0,0.023848,0.0002001701446229295,0.00021564504825057954,9.179881164491476,9.06009870864564,-0.1197824558458346,9700.0,8605.0,-11.288659793814436,5.0,0.02981,0.0002502126807786619,0.00026955631031322445,19.73,145.0,1959.4,9.52,29.93,39.42843242593754,140.59591636035472,1.6336980844786582,0.9854148171720858,2.0,2.0,0.0,0.0,0.0,0.0,480.0,170.0,-64.58333333333334,7.6555,3.58,-4.0755,6270.0,4750.0,A,,5.0,2.0,0.011924,0.00010008507231146475,0.00010782252412528977,19729.0,17831.0,1464163.0,1492875.0,28712.0,0.0196098385220771,0.0194200428672247,5621513.0,6213967.0,592454.0,0.105390488290252,0.100198655612727,2966319.0,3386368.0,420049.0,0.14160614552919,0.132436170425626,1397439.0,1506168.0,108729.0,0.0778059006511197,0.0749274012203269,1317316.0,1488834.0,171518.0,0.130202624123597,0.122396930033242,1571406.0,2105016.0,533610.0,0.339574877530059,0.29235230805204,1413080.0,1608021.0,194941.0,0.137954680555949,0.129232511146608,1221734.0,1430228.0,208494.0,0.170654168583341,0.157562711008485,9242540.0,8907981.0,-334559.0,-0.0361977335234687,-0.0368691231740499,,,,18549,1676,9432,7386,58.0,347.0,262.0,339.0,39.818858159469514,9.035527521699285,50.84910237748665,3.1268531996334032,18.707207935737777,14.12475066041296,18.275917839236616,-4.1511671788236555
6201,山形市,山形県,146186,31404,70434,1840.0,7.418636906105861,12.661677902138502,2837.0,11.438409186207789,58.94026384543432,248024,31.38002773925104,7783.0,-0.9797438957520228,32.359771635003064,8026.0,28.398058252427184,56.0,0.146324,0.00022578460149017836,0.00023113371085172773,10.787255092704724,10.941995917134532,0.1547408244298083,48400.0,56500.0,16.73553719008265,87.0,0.227324,0.0003507725058865271,0.00035908272935893413,19.35,102.0,1311.1,9.34,29.36,38.24610417850553,140.3689397906407,0.8908288694588463,0.8497529024334258,23.0,22.0,84.0,0.219485,0.00033867690223526756,0.0003467005662775916,14460.0,16390.0,13.34716459197787,12.526,13.79,1.2639999999999991,115440.0,118870.0,,中核市,6.0,99.0,0.258679,0.00039915492049156533,0.00040861138168430436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242284,28960,140489,72835,1397.0,3242.0,7147.0,7692.0,30.061828267652835,11.952914761189348,57.98525697115782,5.76596060821185,13.380990903237524,29.498439847451753,31.74786614056232,-2.2494262931105666
6202,米沢市,山形県,47266,9769,24812,503.0,6.145613156254964,11.935684875438318,1087.0,13.280877735286571,57.749214998717115,81847,26.85498552176622,2198.0,-4.960475032682936,31.815460554449157,2604.0,30.31510012584456,28.0,0.051048,0.0003421017263919264,0.0003584321155175504,9.752664662801545,9.75846178048587,0.0057971176843256,17200.0,17300.0,0.5813953488372103,35.0,0.06381,0.000427627157989908,0.00044804014439693796,18.15,216.0,1746.0,8.09,28.22,37.847276655557216,140.11650647878594,0.6402413616796659,0.6988757150956102,5.0,5.0,43.0,0.078395,0.0005253705083876013,0.0005504493202590952,5270.0,6290.0,19.35483870967742,13.9087,16.35,2.441300000000002,37890.0,38480.0,,,6.0,13.0,0.023701,0.00015883294439625155,0.00016641491077600554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78118,8531,44286,25301,378.0,1237.0,2018.0,2702.0,32.388181981105504,10.920658491000792,56.691159527893696,4.83883355948693,15.835018817686064,25.832714611229168,34.58869914744361,-8.755984536214445
6203,鶴岡市,山形県,71175,14636,42741,749.0,5.8264359947725435,11.385275997261807,1803.0,14.025452735079968,55.366699856867264,128552,18.37388760968324,2362.0,-2.854875847905909,21.22876345758915,2729.0,33.24802414587093,45.0,0.018153,0.0003500528968821955,0.0003682397322487991,10.060491301345794,10.060491301345794,0.0,23400.0,23400.0,0.0,43.0,0.017346,0.00033449499035409795,0.0003518735219266303,18.72,231.0,2651.6,9.74,27.7,38.66557322154993,139.6489707800589,1.15438566039936,0.4194337084695527,11.0,11.0,79.0,0.031869,0.0006145373078598544,0.0006464653077256695,7050.0,7270.0,3.120567375886525,13.6496,14.27,0.6204000000000001,51650.0,50940.0,B,,6.0,10.0,0.004034,7.778953264048789e-05,8.183105161084426e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122203,13120,65512,43571,611.0,2084.0,2404.0,2696.0,35.65460749736095,10.736233971342765,53.60915853129629,4.999877253422584,17.05359115569994,19.67218480724696,22.06165151428361,-2.38946670703665
6204,酒田市,山形県,57343,11459,35515,556.0,5.329907876951983,10.984786755754095,1594.0,15.280347402628523,54.9699473719528,104317,18.836814709011954,1965.0,-4.936875101853005,23.77368981086496,2480.0,34.04526587229311,41.0,0.011127,0.00039303277509897716,0.00041500075914773014,10.073230327123223,10.160065879936576,0.0868355528133513,23700.0,25850.0,9.071729957805896,48.0,0.013026,0.00046013593182319274,0.0004858545472949036,19.53,108.0,2380.6,10.57,28.49,39.13682273219477,139.57301848586258,1.4504766611950932,0.3740376851159096,17.0,16.0,32.0,0.008684,0.0003067572878821285,0.00032390303152993573,6220.0,6590.0,5.94855305466238,13.6884,14.64,0.9516000000000008,45440.0,45020.0,C,,6.0,7.0,0.0019,6.710315672421561e-05,7.085378814717344e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98795,9974,52718,36103,430.0,1866.0,2175.0,2416.0,36.543347335391466,10.095652613998684,53.36100005060985,4.352446986183511,18.887595526089378,22.01528417430032,24.454678880510148,-2.4393947062098285
6205,新庄市,山形県,20915,4320,11112,241.0,6.630533469062096,11.885437587696371,510.0,14.03141937436377,57.54257572839574,36347,28.22791427077888,1026.0,-6.30038242495942,34.5282966957383,1255.0,30.571986683907888,15.0,0.067221,0.00041268880512834624,0.0004395346792861957,10.181119289134408,10.142504453006628,-0.0386148361277793,26400.0,25400.0,-3.787878787878785,23.0,0.103072,0.0006327895011967975,0.0006739531749055,19.23,140.0,2190.3,9.39,29.07,38.78819242472539,140.3398811121167,1.2314285893889663,0.8323847838945511,3.0,3.0,25.0,0.112035,0.0006878146752139104,0.0007325577988103262,1690.0,1980.0,17.159763313609467,11.481,13.35,1.869,14720.0,14830.0,,,6.0,6.0,0.026888,0.00016507552205133848,0.00017581387171447828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34127,3723,19177,11227,166.0,569.0,1071.0,1223.0,32.89770562897413,10.909250739883376,56.193043631142494,4.8641837841005655,16.67301550092302,31.38277610103437,35.83672751780116,-4.453951416766788
6206,寒河江市,山形県,23578,5231,12654,287.0,6.921833924221596,12.61606733714396,543.0,13.096013313074309,56.86515688686299,41463,27.012034826230614,1120.0,0.12058944118852821,26.891445385042086,1115.0,30.518775775993056,12.0,0.085784,0.0002894146588524709,0.0002966478789676654,10.21829829237616,10.21464198117305,-0.0036563112031107,27400.0,27300.0,-0.3649635036496401,14.0,0.100082,0.0003376504353278827,0.00034608919212894296,19.07,124.0,1609.3,9.1,29.05,38.434466755388726,140.23169067345378,1.0091790483810277,0.7677203029575137,3.0,3.0,22.0,0.157271,0.0005305935412295299,0.0005438544447740532,1520.0,2020.0,32.89473684210527,10.1131,12.64,2.5269000000000013,15030.0,15980.0,,,6.0,5.0,0.035743,0.00012058944118852954,0.00012360328290319392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40452,5000,22517,12935,259.0,527.0,1037.0,1173.0,31.976169287056265,12.36032829031939,55.66350242262435,6.402650054385444,13.027786017996638,25.635320874122417,28.997330169089288,-3.362009294966871
6207,上山市,山形県,16568,3009,11312,146.0,4.726601702871572,9.741331865712713,461.0,14.924406746738322,53.63721713231248,30889,21.56107352131827,666.0,-3.4963903007543102,25.05746382207258,774.0,36.62145100197481,18.0,0.074611,0.0005827317167923856,0.0006187267977450845,10.257659366256744,10.278493453159584,0.0208340869028411,28500.0,29100.0,2.1052631578947434,8.0,0.03316,0.00025899187412994917,0.00027498968788670426,19.05,134.0,1392.5,9.01,29.09,38.125788281114644,140.30549557048107,0.815233131605756,0.8118328457650222,5.0,5.0,15.0,0.062176,0.0004856097639936547,0.0005156056647875705,1830.0,1870.0,2.185792349726776,14.6635,15.23,0.5664999999999996,12480.0,12280.0,A,,6.0,30.0,0.124351,0.0009712195279873094,0.001031211329575141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29092,2648,14979,11465,95.0,494.0,619.0,724.0,39.4094596452633,9.10215866904991,51.48838168568679,3.265502543654613,16.980613227003985,21.27732710023374,24.886566753746735,-3.6092396535129936
6208,村山市,山形県,13136,2512,9059,105.0,4.249807746792407,10.167159104707167,382.0,15.46120532642571,53.16711863034767,24707,20.803820779536167,514.0,-6.435423159428495,27.239243938964663,673.0,36.66572226494515,12.0,0.060922,0.00048569231391913225,0.0005297545470598623,9.98736903651683,9.980448593672255,-0.0069204428445726,21750.0,21600.0,-0.6896551724137945,7.0,0.035538,0.0002833205164528271,0.00030902348578491963,19.25,159.0,1564.3,9.27,29.22,38.51671979020517,140.33517515806204,1.060859491218967,0.829572076228155,2.0,2.0,10.0,0.050768,0.00040474359493261017,0.0004414621225498852,780.0,1020.0,30.76923076923077,9.5006,12.2,2.699399999999999,8210.0,8360.0,A,,6.0,2.0,0.010154,8.094871898652204e-05,8.829242450997704e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22652,2120,11500,9032,84.0,430.0,401.0,532.0,39.87285890870563,9.358996998057568,50.7681440932368,3.708281829419036,18.982871269645067,17.702631114250398,23.485784919653895,-5.783153805403497
6209,長井市,山形県,14952,3131,9174,178.0,6.530432549436841,11.486957478812782,423.0,15.51894926074036,54.855633415269466,27257,24.727592911912534,674.0,-2.8983380416039957,27.62593095351653,753.0,33.65740910591774,9.0,0.041925,0.00033019040980298637,0.0003490266035833398,9.836278802842678,9.786953736280177,-0.0493250665625009,18700.0,17800.0,-4.8128342245989275,11.0,0.051241,0.0004035660564258722,0.0004265880710463042,18.29,221.0,2305.0,8.61,27.97,38.1374082369994,139.9818379620007,0.822534071531213,0.6183855179571164,3.0,3.0,14.0,0.065216,0.000513629526360201,0.0005429302722407508,1160.0,1540.0,32.758620689655174,11.0899,14.01,2.9200999999999997,10460.0,10990.0,,,6.0,8.0,0.037266,0.00029350258649154344,0.0003102458698518576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25786,2780,13728,9278,104.0,467.0,622.0,726.0,35.980764756069185,10.781043977352052,53.23819126657876,4.033196308074149,18.11060265260219,24.12161638098193,28.154812689056076,-4.033196308074146
