iter	RMSE	R2
0	17.27073547	-4.853861615
1	16.94551385	-4.63547169
2	16.64187143	-4.435319925
3	16.32961062	-4.233261604
4	16.02053322	-4.03703212
5	15.7196981	-3.849636512
6	15.43792842	-3.677338841
7	15.15499137	-3.50746303
8	14.87683455	-3.343520276
9	14.61470469	-3.191803106
10	14.35252014	-3.042752147
11	14.09698697	-2.900078815
12	13.84341022	-2.761031439
13	13.59957198	-2.629704473
14	13.35753149	-2.501653751
15	13.13612149	-2.386531341
16	12.91190664	-2.271911446
17	12.69929263	-2.165044704
18	12.48284998	-2.058076102
19	12.2726994	-1.955976525
20	12.07269558	-1.860416577
21	11.87026494	-1.765295913
22	11.66734076	-1.671557654
23	11.477655	-1.58539628
24	11.2934273	-1.503066038
25	11.12129875	-1.427346642
26	10.94336036	-1.350293977
27	10.77107218	-1.276872224
28	10.59175647	-1.201692994
29	10.430094	-1.134996817
30	10.27085853	-1.070304765
31	10.12360642	-1.011366867
32	9.977927301	-0.9538960614
33	9.827009468	-0.8952370408
34	9.68361421	-0.8403301655
35	9.556671521	-0.7923965711
36	9.424284065	-0.7430808149
37	9.288958958	-0.6933817491
38	9.168385574	-0.6497058902
39	9.052885301	-0.6084028082
40	8.930420087	-0.5651809877
41	8.814231993	-0.5247187495
42	8.702800138	-0.4864106442
43	8.59189194	-0.4487665137
44	8.474723926	-0.4095221522
45	8.373535227	-0.3760635469
46	8.270289258	-0.3423389306
47	8.172527579	-0.310791379
48	8.07033202	-0.2782140631
49	7.970588417	-0.2468136673
50	7.879786732	-0.2185678438
51	7.796954969	-0.1930834976
52	7.703144619	-0.1645466477
53	7.614839057	-0.1379999535
54	7.535654998	-0.1144556773
55	7.445914123	-0.08806999146
56	7.355652647	-0.06185009879
57	7.282885146	-0.04094482096
58	7.204346861	-0.0186148779
59	7.130279979	0.002221932625
60	7.059261477	0.0219989435
61	6.991360223	0.0407227491
62	6.915821855	0.06133984664
63	6.849365421	0.07929296702
64	6.770601437	0.1003464771
65	6.693384015	0.1207502143
66	6.630187591	0.1372749283
67	6.567094963	0.1536161271
68	6.508359793	0.1686882986
69	6.438271735	0.1864965632
70	6.385706718	0.1997259702
71	6.329139564	0.2138414688
72	6.266729015	0.2292693723
73	6.213989655	0.2421873709
74	6.166247662	0.2537871657
75	6.109889833	0.2673651962
76	6.058331186	0.2796777855
77	6.013387874	0.2903254652
78	5.961254977	0.3025771331
79	5.903352827	0.3160595846
80	5.868614144	0.324085289
81	5.820072172	0.3352206399
82	5.778565144	0.3446688469
83	5.745268417	0.3521992686
84	5.693241115	0.3638786955
85	5.641099289	0.3754772341
86	5.595195423	0.3855998597
87	5.545125662	0.396546832
88	5.501925503	0.4059127962
89	5.457489238	0.4154703267
90	5.411765232	0.4252239239
91	5.370791361	0.4338945315
92	5.332640107	0.4419085924
93	5.299045187	0.4489182453
94	5.255788747	0.4578785539
95	5.230977198	0.4629849703
96	5.20058747	0.4692064982
97	5.164691201	0.4765086539
98	5.134971336	0.4825161101
99	5.104699195	0.4885995597
100	5.065202024	0.4964827771
101	5.034886639	0.502491872
102	5.004057842	0.5085657409
103	4.96280582	0.5166348307
104	4.941995608	0.5206800592
105	4.908910289	0.5270764102
106	4.876539311	0.5332930742
107	4.852644251	0.5378555998
108	4.821325215	0.5438017226
109	4.792562693	0.5492285599
110	4.765971504	0.5542168286
111	4.740757997	0.5589210222
112	4.708759802	0.5648551366
113	4.677890372	0.5705418328
114	4.642887514	0.5769447289
115	4.616756552	0.5816933824
116	4.589194241	0.586673104
117	4.568413564	0.5904078625
118	4.544329488	0.5947151107
119	4.513929688	0.600119371
120	4.485146078	0.6052028842
121	4.463189637	0.6090587775
122	4.442191803	0.6127286231
123	4.42544087	0.6156438174
124	4.396779216	0.6206063105
125	4.384441747	0.6227324989
126	4.359009039	0.6270966147
127	4.326490234	0.6326396821
128	4.307971571	0.6357777741
129	4.287176111	0.6392856374
130	4.270050674	0.6421616813
131	4.246965942	0.646020311
