iter	R2	RMSE
0	0.01320738967	2.569056981
1	0.02602915965	2.552312045
2	0.03712850552	2.537727334
3	0.04795799228	2.523415977
4	0.06328439008	2.503022027
5	0.08006293587	2.48050354
6	0.08994132512	2.467149629
7	0.1012568341	2.451763601
8	0.1134850595	2.435027231
9	0.1227621641	2.422252819
10	0.1364615468	2.403264844
11	0.1515107208	2.382231551
12	0.1605890428	2.369453061
13	0.1727337803	2.352249788
14	0.1827060769	2.338029182
15	0.193558633	2.322454376
16	0.2031134252	2.308655053
17	0.2109597313	2.297261195
18	0.2199951105	2.28407024
19	0.2281749572	2.272062247
20	0.2356483774	2.261035539
21	0.2445142049	2.247884249
22	0.252285122	2.236293512
23	0.2576022545	2.228327987
24	0.2650798334	2.217077503
25	0.2731778409	2.204828796
26	0.2804396667	2.193786703
27	0.2891809633	2.180420808
28	0.2937894061	2.173341169
29	0.3008339522	2.162474315
30	0.306406417	2.153839443
31	0.3116105935	2.145743877
32	0.317973429	2.135804219
33	0.3247305426	2.125197744
34	0.3332447589	2.111757337
35	0.3378524086	2.104447978
36	0.3438308793	2.094926001
37	0.3494031852	2.086011792
38	0.3544855788	2.077847965
39	0.3585581212	2.071283035
40	0.3615081268	2.066514608
41	0.3658458323	2.059483032
42	0.3705300605	2.05186267
43	0.3744655677	2.04543839
44	0.3803049952	2.035868817
45	0.3870438308	2.024769093
46	0.3908872928	2.018411085
47	0.3931910987	2.014590419
48	0.3984789594	2.005793429
49	0.4038202951	1.996868134
50	0.4093820117	1.987531991
51	0.4146457836	1.978655416
52	0.4188430503	1.971548706
53	0.4226259697	1.965121538
54	0.4263174183	1.958829449
55	0.4305448355	1.951598882
56	0.4342068293	1.94531369
57	0.4380164741	1.938753456
58	0.4427416632	1.930585677
59	0.4498757239	1.918188124
60	0.4546903173	1.90977585
61	0.4586737253	1.902787748
62	0.4629748507	1.895213341
63	0.4667015984	1.888625868
64	0.470635089	1.881647934
65	0.4724968846	1.878336108
66	0.4761993974	1.871732535
67	0.4797685597	1.865344669
68	0.4837887166	1.858123343
69	0.4875679101	1.851309169
70	0.4933726756	1.840793607
71	0.498886255	1.83074961
72	0.5030237153	1.823176126
73	0.5064423639	1.816894584
74	0.5101136535	1.810124558
75	0.5127681554	1.805213719
76	0.515494663	1.800155722
77	0.5191199585	1.793408273
78	0.5215436714	1.788883031
79	0.5241859695	1.783936596
80	0.5274813322	1.777748325
81	0.5301893788	1.772646788
82	0.5321826773	1.768882324
83	0.5353653244	1.76285504
84	0.5384890934	1.756919152
85	0.5423067619	1.749637349
86	0.5457451118	1.743053019
87	0.5493671422	1.736089939
88	0.5530143164	1.729050188
89	0.5568945194	1.721529042
90	0.5593011766	1.71684757
91	0.5624139563	1.710773537
92	0.5651777901	1.705362277
93	0.5684305862	1.698971609
94	0.5710026034	1.693901377
95	0.5730586628	1.689837314
96	0.5754956292	1.685007646
97	0.5805513176	1.674943686
98	0.5828171623	1.670413571
99	0.5845190559	1.66700287
100	0.5860176993	1.663993707
101	0.5878352742	1.660336836
102	0.5917916678	1.652348784
103	0.5940619112	1.647747624
104	0.5971347393	1.641499302
105	0.5999367449	1.63578087
106	0.6052273912	1.624928659
107	0.6071825335	1.620899871
108	0.6092849241	1.616556459
109	0.6134834444	1.607847457
110	0.6164350796	1.601696525
111	0.6196100579	1.595053687
112	0.62206447	1.58989943
113	0.6251025713	1.583496193
114	0.6284846946	1.576337284
115	0.6302373891	1.572614552
116	0.6334542403	1.565758913
117	0.6361579529	1.559973554
118	0.6375675091	1.556948884
119	0.639992605	1.55173124
120	0.6428565566	1.545546705
121	0.6481070331	1.534143859
122	0.6508647047	1.528120741
123	0.6523245065	1.524922711
124	0.6548593995	1.519353455
125	0.6568904983	1.514876279
126	0.6591295187	1.509925395
127	0.6627867599	1.501803464
128	0.6649118406	1.497063885
129	0.6669640953	1.492472444
130	0.6704095769	1.484732054
131	0.672145755	1.480816341
132	0.6739854007	1.476655941
133	0.6762801961	1.471449721
134	0.6780652754	1.467387125
135	0.6803329981	1.462209821
136	0.6828641516	1.456409359
137	0.6846084691	1.452398549
138	0.6878620282	1.444887702
139	0.6890021501	1.442246474
140	0.6894362298	1.441239605
141	0.6906949301	1.438316001
142	0.6931512288	1.432593535
143	0.6939545602	1.430717038
144	0.6953764501	1.427389606
145	0.69825922	1.420619583
146	0.702865732	1.409733964
147	0.7056320241	1.403156374
148	0.7067273075	1.400543512
149	0.707827286	1.397914533
150	0.7102914151	1.392007179
151	0.710866654	1.390624523
152	0.7110744021	1.390124838
153	0.7152475168	1.380049146
154	0.7156395855	1.379098741
155	0.7164508375	1.37713012
156	0.716845727	1.376170844
157	0.7195327863	1.36962553
158	0.7204783455	1.367314822
159	0.7230256709	1.361070284
160	0.7240613854	1.358523116
161	0.7255170393	1.354935081
162	0.7292764549	1.345624255
163	0.7322127075	1.338307078
164	0.7346803985	1.332126479
165	0.7351713626	1.330893382
166	0.7362968343	1.328062349
167	0.7401325993	1.318368124
168	0.7418184522	1.314084802
169	0.7426663714	1.311925171
170	0.7449226553	1.306161073
171	0.746807696	1.301325809
172	0.7484267756	1.297158365
173	0.7508006774	1.291023719
174	0.7544589458	1.281512512
175	0.7555257534	1.278725574
176	0.757852994	1.27262469
177	0.7607236057	1.265058825
178	0.7644017065	1.255298075
179	0.7665514401	1.249557922
180	0.7671589935	1.247930866
181	0.768020895	1.245619008
182	0.7717365792	1.235602998
183	0.7744633256	1.228200808
184	0.7777688974	1.21916704
185	0.7800722746	1.212832382
