iter	Passed	Remaining
0	6	6737
1	13	6651
2	19	6613
3	26	6649
4	33	6758
5	46	7702
6	59	8508
7	73	9117
8	93	10331
9	107	10610
10	120	10833
11	136	11204
12	149	11360
13	167	11787
14	181	11887
15	194	11969
16	211	12214
17	223	12217
18	236	12224
19	249	12239
20	262	12260
21	275	12267
22	288	12263
23	302	12316
24	317	12381
25	330	12377
26	343	12381
27	356	12376
28	369	12375
29	381	12338
30	392	12253
31	405	12279
32	415	12169
33	426	12112
34	436	12028
35	447	11972
36	457	11912
37	467	11831
38	477	11773
39	487	11696
40	500	11700
41	508	11609
42	522	11637
43	537	11682
44	547	11627
45	558	11581
46	567	11504
47	578	11474
48	589	11450
49	598	11376
50	609	11344
51	618	11274
52	631	11276
53	644	11290
54	657	11303
55	671	11316
56	685	11332
57	698	11339
58	710	11337
59	723	11338
60	736	11341
61	750	11351
62	763	11353
63	775	11343
64	787	11331
65	803	11369
66	812	11312
67	825	11307
68	839	11332
69	856	11383
70	870	11387
71	883	11386
72	897	11399
73	920	11517
74	940	11603
75	959	11662
76	972	11653
77	985	11650
78	996	11621
79	1008	11595
80	1024	11618
81	1038	11628
82	1050	11609
83	1067	11640
84	1087	11703
85	1103	11728
86	1116	11721
87	1130	11719
88	1139	11666
89	1150	11633
90	1160	11590
91	1169	11540
92	1184	11548
93	1194	11508
94	1211	11543
95	1227	11559
96	1242	11566
97	1257	11578
98	1270	11564
99	1283	11551
100	1296	11539
101	1309	11525
102	1322	11512
103	1334	11499
104	1348	11492
105	1361	11480
106	1376	11491
107	1391	11494
108	1406	11495
109	1423	11514
110	1435	11493
111	1447	11473
112	1463	11487
113	1482	11519
114	1500	11546
115	1512	11528
116	1523	11494
117	1532	11457
118	1542	11421
119	1554	11400
120	1564	11362
121	1574	11328
122	1584	11294
123	1592	11252
124	1610	11275
125	1625	11277
126	1635	11242
127	1645	11211
128	1651	11150
129	1663	11129
130	1673	11103
131	1683	11071
132	1692	11035
133	1702	11000
134	1711	10964
135	1722	10940
136	1731	10909
137	1740	10874
138	1753	10858
139	1765	10846
140	1778	10835
141	1791	10823
142	1804	10812
143	1816	10800
144	1829	10787
145	1841	10773
146	1854	10760
147	1867	10749
148	1883	10756
149	1897	10750
150	1913	10761
151	1927	10754
152	1936	10717
153	1948	10706
154	1962	10696
155	1974	10684
156	1987	10673
157	2001	10666
158	2018	10674
159	2032	10669
160	2042	10641
161	2054	10627
162	2063	10597
163	2073	10568
164	2085	10556
165	2099	10547
166	2108	10515
167	2117	10489
168	2126	10458
169	2141	10455
170	2152	10436
171	2165	10426
172	2178	10414
173	2191	10403
174	2204	10394
175	2217	10382
176	2230	10371
177	2243	10359
178	2256	10349
179	2273	10358
180	2286	10348
181	2300	10341
182	2313	10329
183	2326	10316
184	2343	10326
185	2357	10315
186	2372	10316
187	2398	10361
188	2421	10391
189	2449	10442
190	2478	10497
191	2496	10504
192	2530	10579
193	2543	10568
194	2573	10625
195	2599	10661
196	2633	10732
197	2672	10824
198	2700	10868
199	2732	10928
200	2760	10971
201	2784	10998
202	2809	11031
203	2842	11089
204	2873	11142
205	2897	11166
206	2927	11214
207	2957	11262
208	2994	11333
209	3008	11318
210	3040	11369
211	3068	11404
212	3097	11443
213	3125	11481
214	3159	11535
215	3187	11569
216	3205	11566
217	3220	11552
218	3229	11517
219	3236	11473
220	3242	11429
221	3248	11385
222	3255	11342
223	3262	11300
224	3268	11258
225	3275	11217
226	3282	11179
227	3290	11139
228	3296	11097
229	3302	11057
230	3309	11017
231	3315	10977
232	3322	10936
233	3328	10896
234	3335	10858
235	3341	10818
236	3348	10779
237	3357	10748
238	3375	10746
239	3398	10762
240	3420	10771
241	3440	10777
242	3460	10781
243	3480	10782
244	3492	10764
245	3505	10745
246	3518	10726
247	3531	10707
248	3547	10698
249	3560	10680
250	3573	10664
251	3589	10654
252	3602	10637
253	3615	10620
254	3628	10602
255	3642	10584
256	3655	10569
257	3669	10553
258	3682	10535
259	3699	10528
260	3711	10510
261	3725	10492
262	3738	10475
263	3751	10459
264	3764	10442
265	3777	10424
266	3792	10410
267	3805	10393
268	3821	10384
269	3839	10379
270	3852	10363
271	3866	10347
272	3879	10331
273	3892	10313
274	3908	10305
275	3922	10290
276	3935	10272
