iter	RMSE	R2
0	17.0634573	-4.885138868
1	16.63532703	-4.59352188
2	16.20785756	-4.309747608
3	15.81030561	-4.0524635
4	15.42810171	-3.81113609
5	15.06357346	-3.58647124
6	14.70248278	-3.369221013
7	14.34408246	-3.15880159
8	14.02524033	-2.97597165
9	13.69089157	-2.788664226
10	13.37733502	-2.617111216
11	13.06811492	-2.451823213
12	12.79116303	-2.307064942
13	12.50636291	-2.161438288
14	12.22187172	-2.019243202
15	11.95579151	-1.889211407
16	11.69905807	-1.766460338
17	11.45879406	-1.653997342
18	11.21565574	-1.542564597
19	10.98838173	-1.440563608
20	10.75610603	-1.338475395
21	10.54289315	-1.24668541
22	10.33386262	-1.158479967
23	10.12571425	-1.07240194
24	9.931604966	-0.9937078966
25	9.742605336	-0.9185489095
26	9.570457871	-0.8513481087
27	9.39688446	-0.7848035828
28	9.231585846	-0.7225636577
29	9.068326214	-0.6621756821
30	8.915788411	-0.6067272582
31	8.76671734	-0.553447796
32	8.626051572	-0.5039962578
33	8.480472726	-0.4536597936
34	8.346096494	-0.4079572166
35	8.2140652	-0.3637631353
36	8.081138057	-0.3199810839
37	7.970393598	-0.2840507592
38	7.849796338	-0.2454876725
39	7.736084358	-0.2096648152
40	7.625990634	-0.1754798533
41	7.517174982	-0.1421732232
42	7.41115794	-0.1101835612
43	7.309686464	-0.07999104195
44	7.212003175	-0.05131890372
45	7.114068965	-0.02296034113
46	7.02738864	0.001816010714
47	6.940374906	0.02638217401
48	6.865582253	0.04725340736
49	6.77062428	0.07342605523
50	6.690093551	0.0953365663
51	6.600690436	0.1193539614
52	6.527666802	0.1387314051
53	6.460064132	0.1564781942
54	6.393980655	0.1736476033
55	6.318888515	0.1929433111
56	6.252724423	0.209755955
57	6.182598026	0.2273822581
58	6.124669126	0.2417927751
59	6.061055429	0.2574611751
60	6.004577479	0.271234909
61	5.95878533	0.2823079511
62	5.896318603	0.297276399
63	5.835498026	0.3116988297
64	5.782590022	0.3241233233
65	5.726467676	0.3371789653
66	5.678384952	0.34826309
67	5.619258488	0.3617649133
68	5.560730033	0.3749909912
69	5.516598508	0.3848721215
70	5.469467482	0.3953379051
71	5.422890857	0.4055923603
72	5.386136779	0.4136223468
73	5.337407337	0.4241844994
74	5.307905289	0.4305324456
75	5.26905031	0.4388391742
76	5.22348749	0.4485022144
77	5.192050748	0.4551204453
78	5.156276838	0.4626031606
79	5.117523518	0.4706506924
80	5.089064275	0.4765218884
81	5.047765233	0.4849837276
82	5.01813804	0.4910116259
83	4.990047105	0.4966941878
84	4.960311071	0.5026747831
85	4.929672199	0.50879957
86	4.897124697	0.5152643284
87	4.856924809	0.5231899339
88	4.819089207	0.5305897308
89	4.79383175	0.5354973137
90	4.77218124	0.5396835308
91	4.747711918	0.5443919668
92	4.722112779	0.5492918977
93	4.694415792	0.5545635409
94	4.678660034	0.5575485391
95	4.656350052	0.5617580987
96	4.62922107	0.5668498218
97	4.603565431	0.5716376469
98	4.574789295	0.576976156
99	4.561098429	0.5795043146
100	4.527173033	0.5857363351
101	4.505949509	0.5896113917
102	4.463748953	0.5972623999
103	4.435580803	0.6023292527
104	4.419837618	0.6051471447
105	4.399436591	0.6087838451
106	4.37985604	0.6122584632
107	4.364978907	0.6148880865
108	4.342303589	0.6188788747
109	4.330113631	0.6210156802
110	4.308288209	0.6248265026
111	4.288108259	0.6283328843
112	4.268714724	0.6316871093
113	4.245234754	0.6357277595
114	4.225339587	0.639134061
115	4.200973042	0.6432841193
116	4.171697784	0.6482384773
117	4.15321301	0.6513488784
118	4.13965984	0.6536206703
119	4.126744254	0.6557786802
120	4.101357689	0.6600007582
121	4.087041484	0.6623702193
122	4.066335754	0.665782547
123	4.051758747	0.6681744586
124	4.035679414	0.6708029202
125	4.022742367	0.6729101301
126	4.008875527	0.6751612737
127	3.99476339	0.6774442581
128	3.982604673	0.6794047724
129	3.964068254	0.6823821494
130	3.950251611	0.6845923862
131	3.928025165	0.6881317395
132	3.909314583	0.6910957424
133	3.892216704	0.6937918967
134	3.877849273	0.6960483508
135	3.848937818	0.700563702
136	3.829967878	0.703508042
137	3.812343904	0.7062304377
138	3.796467556	0.7086721253
139	3.776573202	0.7117173741
140	3.763982918	0.7136363148
141	3.748643345	0.7159656271
142	3.736196207	0.7178487326
143	3.725648237	0.7194396137
144	3.715016311	0.7210386058
145	3.703686915	0.7227374651
146	3.691809599	0.7245129145
147	3.673160835	0.7272890696
148	3.665322025	0.7284518001
149	3.65733424	0.7296340728
150	3.644636956	0.7315080902
151	3.632146346	0.7333452449
152	3.621240886	0.7349440941
153	3.609769263	0.7366207599
154	3.594106961	0.7389013356
155	3.585258822	0.7401853228
156	3.571637658	0.7421557555
157	3.55825399	0.7440845268
158	3.549143886	0.7453932765
159	3.540510633	0.7466304261
160	3.527416091	0.7485011298
161	3.523197739	0.7491022931
162	3.514012677	0.7504087806
163	3.502880012	0.7519877242
164	3.492960061	0.7533904477
165	3.485684434	0.7544167236
166	3.476640392	0.7556894632
167	3.463013145	0.7576009379
168	3.455291895	0.7586806549
169	3.445845043	0.7599983971
170	3.437892657	0.7611048792
171	3.431514241	0.7619905141
172	3.422958389	0.7631759006
173	3.415919816	0.7641488543
174	3.407508109	0.7653089916
175	3.389791763	0.7677430626
176	3.38522282	0.7683687373
177	3.374015802	0.7698998618
178	3.368731423	0.7706200624
179	3.358196345	0.7720525048
180	3.351747944	0.7729270729
181	3.346618057	0.7736216162
182	3.334793425	0.775218519
183	3.329573612	0.7759216505
184	3.320478221	0.7771442073
185	3.314586241	0.7779343929
186	3.304860016	0.7792357263
187	3.297351783	0.7802376851
188	3.290562183	0.7811417816
189	3.283636067	0.7820621362
190	3.280971818	0.7824156499
191	3.274913778	0.7832184107
192	3.268773539	0.7840305499
193	3.265632474	0.7844454139
194	3.260454989	0.7851283725
195	3.253388664	0.786058738
196	3.239015686	0.7879448826
197	3.232800009	0.78875797
198	3.215308449	0.7910377006
199	3.201505296	0.7928279782
200	3.185183582	0.7949349765
201	3.180096871	0.7955894277
202	3.173063392	0.796492625
203	3.159781893	0.7981927022
204	3.154084234	0.7989198363
205	3.139360975	0.8007927384
206	3.134173489	0.8014505353
207	3.125158329	0.8025911109
208	3.111621654	0.8042975668
209	3.105183036	0.8051066302
210	3.093518178	0.8065681437
211	3.089480339	0.807072771
212	3.075853093	0.808770965
213	3.071273413	0.8093399882
214	3.063996878	0.8102423506
215	3.05974924	0.8107681104
216	3.04658562	0.8123928306
217	3.042812881	0.8128571896
218	3.033620738	0.8139861746
219	3.017923814	0.8159061844
220	3.013042738	0.8165011956
221	3.009659622	0.8169130379
222	3.001307307	0.8179278225
223	2.988910842	0.8194287618
224	2.978355853	0.8207018424
225	2.971751559	0.8214961228
226	2.968476839	0.8218893107
227	2.963997245	0.8224264626
228	2.954881722	0.8235170078
229	2.93992002	0.8252996856
230	2.930465156	0.8264215608
231	2.920597737	0.8275885344
232	2.908632335	0.8289983462
233	2.894632383	0.8306405292
234	2.891101394	0.8310534603
235	2.886383128	0.8316044505
236	2.876361292	0.8327717956
237	2.871939962	0.8332855022
238	2.866531864	0.8339127851
239	2.858088965	0.8348897095
240	2.849315344	0.8359018486
241	2.841983194	0.8367453103
242	2.837169055	0.8372979279
243	2.828013113	0.8383463582
244	2.823773007	0.838830737
245	2.820495445	0.8392046592
246	2.81720427	0.8395796975
247	2.814387496	0.8399003288
248	2.810499584	0.8403423599
249	2.806530225	0.8407930206
