iter	RMSE	R2
0	16.96873474	-5.800084473
1	16.6411787	-5.540087442
2	16.33618462	-5.302555115
3	16.01823138	-5.059607741
4	15.70550496	-4.825312052
5	15.40341556	-4.603371937
6	15.11829186	-4.397850312
7	14.83419115	-4.196885256
8	14.55279332	-4.001590249
9	14.28577045	-3.819730129
10	14.01943002	-3.641689662
11	13.76291292	-3.473383285
12	13.50759493	-3.308949885
13	13.26004234	-3.15245761
14	13.01659381	-3.001382714
15	12.78924312	-2.862825351
16	12.56187962	-2.726701781
17	12.34596848	-2.599695079
18	12.13133351	-2.47562147
19	11.91805605	-2.354487929
20	11.7152726	-2.24130712
21	11.52106766	-2.134735056
22	11.32326426	-2.028019534
23	11.13682533	-1.929127007
24	10.96282097	-1.838311323
25	10.77589065	-1.742342776
26	10.59888162	-1.652989124
27	10.42882174	-1.568537285
28	10.25952992	-1.485823623
29	10.09553259	-1.406987621
30	9.928093311	-1.327807628
31	9.771365724	-1.254892921
32	9.618558249	-1.184919019
33	9.465351109	-1.115869328
34	9.320564769	-1.051633793
35	9.187778988	-0.9935928425
36	9.046268364	-0.9326549389
37	8.910336134	-0.8750098856
38	8.785426915	-0.8228088434
39	8.668540539	-0.7746281062
40	8.54532529	-0.7245372725
41	8.430971059	-0.6786903093
42	8.319333409	-0.6345283049
43	8.2094147	-0.591621422
44	8.085632282	-0.5439860054
45	7.98427037	-0.5055176672
46	7.880139432	-0.4665037924
47	7.781130817	-0.4298840442
48	7.677229814	-0.3919526713
49	7.571584646	-0.3539073632
50	7.481587766	-0.3219131912
51	7.387837764	-0.2889915964
52	7.299865241	-0.25847639
53	7.210808234	-0.227957337
54	7.126354987	-0.1993620167
55	7.034707677	-0.1687119829
56	6.946345501	-0.1395362569
57	6.864202233	-0.1127446806
58	6.779115741	-0.08532919095
59	6.701940506	-0.06075850561
60	6.629778883	-0.03803853101
61	6.560099662	-0.01633354693
62	6.486834559	0.006241102903
63	6.42090652	0.02633831375
64	6.345951211	0.04893796839
65	6.271408796	0.07114995186
66	6.198365972	0.09266050375
67	6.144366418	0.1084009437
68	6.083100788	0.1260926125
69	6.017326747	0.1448888369
70	5.966866589	0.1591703034
71	5.906527484	0.1760898661
72	5.85726861	0.1897749465
73	5.802397989	0.2048841438
74	5.748176428	0.2196749207
75	5.693936018	0.234331903
76	5.640395858	0.2486633806
77	5.593452934	0.2611175308
78	5.537063168	0.2759403558
79	5.491508134	0.2878054454
80	5.453255477	0.2976928743
81	5.399057861	0.3115833749
82	5.356276333	0.3224500225
83	5.312698668	0.3334300148
84	5.262698724	0.3459176902
85	5.217871875	0.3570129769
86	5.18493605	0.3651045788
87	5.150009184	0.373629359
88	5.109346466	0.3834815286
89	5.064753284	0.3941962243
90	5.022169358	0.4043404703
91	4.978287213	0.4147043667
92	4.944296928	0.4226695354
93	4.909537534	0.4307584984
94	4.869960443	0.4398991218
95	4.835091496	0.4478910594
96	4.803151537	0.4551612804
97	4.768211652	0.4630591627
98	4.732905288	0.4709813123
99	4.695936869	0.4792132984
100	4.665047265	0.4860421747
101	4.634844179	0.4926757028
102	4.601936129	0.4998542763
103	4.563302977	0.5082164527
104	4.533667088	0.5145833834
105	4.50077035	0.5216022879
106	4.467541613	0.5286401367
107	4.440897606	0.5342456649
108	4.411612033	0.5403682597
109	4.369986974	0.5490009041
110	4.342727148	0.554609988
111	4.319713004	0.5593181398
112	4.285254296	0.5663208088
113	4.265628289	0.5702841209
114	4.239051915	0.5756220045
115	4.210647549	0.5812901599
116	4.190142144	0.5853583745
117	4.164751747	0.5903682371
118	4.137611204	0.5956897563
119	4.115176258	0.6000623697
120	4.094688798	0.6040346468
121	4.068472459	0.6090887696
122	4.047604461	0.613088607
123	4.031916687	0.6160819903
124	4.000290243	0.6220812911
125	3.974715106	0.6268981545
126	3.956607898	0.6302898161
127	3.935349732	0.6342519207
128	3.91717992	0.6376214978
129	3.892894701	0.642100823
130	3.861856793	0.6477851064
131	3.842580809	0.6512924061
132	3.821388349	0.655128158
133	3.808381345	0.6574718692
134	3.79253115	0.6603170883
135	3.773121614	0.6637850711
136	3.752146347	0.6675128047
137	3.734388287	0.6706525306
138	3.714224493	0.6741995457
139	3.703806053	0.67602473
140	3.679841082	0.6802036419
141	3.668116387	0.6822382632
142	3.642540271	0.6866540323
143	3.627084099	0.6893075947
144	3.609324803	0.6923426334
145	3.597126227	0.6944187223
146	3.581551795	0.6970591368
147	3.567815296	0.6993784481
148	3.556247246	0.7013247189
149	3.544715896	0.7032585244
150	3.526254641	0.7063413974
151	3.51175813	0.7087509084
152	3.495357763	0.7114648985
153	3.479842188	0.7140207753
154	3.464818348	0.716484813
155	3.450724013	0.7187867119
156	3.437853714	0.7208805041
157	3.428788491	0.7223505751
158	3.417996459	0.7240956146
159	3.405651247	0.7260850533
160	3.388889262	0.7287747352
161	3.373352832	0.7312559098
162	3.361895185	0.7330783968
163	3.355043639	0.7341652611
164	3.34635961	0.7355396271
165	3.336919126	0.7370296716
166	3.320550471	0.7396032511
167	3.309754435	0.7412937434
168	3.300820491	0.742688498
169	3.288579797	0.7445933767
170	3.277067148	0.7463784999
171	3.269154314	0.7476018145
172	3.261340982	0.7488068442
173	3.250390808	0.7504908087
174	3.236614145	0.7526013975
175	3.224048007	0.754518716
176	3.213021489	0.7561949783
177	3.202724758	0.7577551124
178	3.190938735	0.7595347536
179	3.182971913	0.7607339945
180	3.170719024	0.7625725637
181	3.160091723	0.7641614679
182	3.144053193	0.7665493129
183	3.132864873	0.7682078558
184	3.125435877	0.7693058548
185	3.113869735	0.7710101318
186	3.10316669	0.7725816019
187	3.091590637	0.7742751604
188	3.078542505	0.7761764938
189	3.068842268	0.7775847709
190	3.057457659	0.7792319156
191	3.050594585	0.7802219193
192	3.041683203	0.7815040731
193	3.035231201	0.7824300347
194	3.025087936	0.7838817742
195	3.013947297	0.7854706613
196	3.001576784	0.7872280854
197	2.992416409	0.7885248013
198	2.984595616	0.7896287537
199	2.973390898	0.791205333
200	2.961148381	0.7929211586
201	2.952398562	0.7941431341
202	2.944250438	0.7952778268
203	2.936138767	0.7964043284
204	2.925691032	0.7978506695
205	2.91701734	0.7990475026
206	2.90451343	0.8007665918
207	2.897263442	0.8017599679
208	2.891456328	0.8025538541
209	2.883499397	0.8036390537
210	2.874163153	0.8049085569
211	2.867449969	0.805818843
212	2.861093914	0.8066787416
213	2.849137254	0.8082911644
214	2.846561893	0.8086375825
215	2.842946956	0.809123308
216	2.835982768	0.8100573199
217	2.826737831	0.8112936785
218	2.817428229	0.8125346056
219	2.809158784	0.8136334515
220	2.792861282	0.8157896121
221	2.783155418	0.817067738
222	2.770993606	0.818662997
223	2.763355536	0.8196613073
224	2.755019657	0.820747678
225	2.749828384	0.8214225705
226	2.742857694	0.8223267942
227	2.731884618	0.8237455494
228	2.724016119	0.8247593995
229	2.715798776	0.8258150762
230	2.711284584	0.8263936542
231	2.700424064	0.8277816892
232	2.685402478	0.8296923498
233	2.678084595	0.8306192821
234	2.671374794	0.831466968
235	2.659465176	0.8329663382
236	2.64949226	0.8342167319
237	2.641794539	0.8351786517
238	2.635406429	0.8359747953
239	2.633783375	0.8361767678
240	2.626043712	0.8371381783
241	2.614645983	0.8385488377
242	2.611144876	0.8389809263
243	2.605779638	0.8396419529
244	2.598069153	0.8405895457
245	2.585435253	0.8421361397
246	2.580122061	0.8427843083
247	2.568858692	0.8441539437
248	2.562963499	0.8448684154
249	2.555004942	0.8458303539
250	2.548376298	0.8466292643
251	2.539267917	0.8477236573
252	2.530733412	0.8487455418
253	2.524391092	0.8495027153
254	2.517623748	0.8503085348
255	2.507480671	0.8515122679
256	2.502686278	0.8520795527
257	2.492690554	0.853258781
258	2.48539258	0.8541167664
259	2.477664192	0.8550226107
260	2.468226413	0.8561249865
261	2.464210658	0.8565927692
262	2.456440716	0.8574957027
263	2.45178912	0.8580348932
264	2.447207866	0.8585649311
265	2.442067007	0.8591585334
266	2.436360761	0.8598159577
267	2.431206486	0.8604084667
268	2.426126465	0.8609912119
269	2.418951632	0.8618121832
270	2.411203625	0.8626960087
271	2.406952018	0.8631797902
272	2.396515742	0.8643636924
273	2.385715943	0.8655834167
274	2.38221102	0.865978077
275	2.368803434	0.8674824389
276	2.36461653	0.8679504794
277	2.352782556	0.8692688837
278	2.347183102	0.8698904047
279	2.343634445	0.8702835272
280	2.337826932	0.870925604
281	2.335796281	0.8711497363
282	2.327580529	0.8720545585
283	2.32497418	0.8723409363
284	2.320497896	0.8728320283
285	2.310038036	0.8739758874
286	2.302978283	0.874745
287	2.300404601	0.8750247997
288	2.29238517	0.8758946319
289	2.285904773	0.8765953129
290	2.279273802	0.8773102211
291	2.274100063	0.8778665776
292	2.269838871	0.8783238543
293	2.265555796	0.8787826149
294	2.258757234	0.8795090304
295	2.256007233	0.8798022434
296	2.251135868	0.8803207657
297	2.244345017	0.8810417333
298	2.237787442	0.8817358673
299	2.232206464	0.8823250265
300	2.221991376	0.8833995774
301	2.216279764	0.8839982479
302	2.209340642	0.8847235086
303	2.205450233	0.8851291299
304	2.203278388	0.8853552596
305	2.196845928	0.8860236918
306	2.191407996	0.8865872529
307	2.181256028	0.8876356159
308	2.174023297	0.8883795487
309	2.167986181	0.8889986129
310	2.161789232	0.8896322765
311	2.156268183	0.8901952984
312	2.150730506	0.8907585699
313	2.145173019	0.8913224002
314	2.134474266	0.8924037258
315	2.126163099	0.8932400064
316	2.119491745	0.8939089262
317	2.111505419	0.8947069303
318	2.102987415	0.8955547404
319	2.097267865	0.8961220928
320	2.089697703	0.8968706413
321	2.08045064	0.8977813316
