iter	Passed	Remaining
0	15	15762
1	30	15350
2	40	13458
3	50	12509
4	59	11787
5	68	11401
6	78	11199
7	88	10976
8	99	10942
9	110	10910
10	119	10778
11	130	10780
12	141	10736
13	155	10956
14	165	10858
15	173	10694
16	185	10700
17	194	10587
18	206	10668
19	223	10957
20	240	11210
21	261	11643
22	280	11900
23	288	11739
24	298	11654
25	309	11583
26	320	11550
27	329	11434
28	341	11444
29	349	11299
30	357	11163
31	363	11005
32	370	10850
33	377	10726
34	384	10603
35	391	10475
36	397	10349
37	405	10256
38	412	10155
39	418	10049
40	425	9944
41	431	9844
42	438	9752
43	444	9658
44	451	9572
45	457	9494
46	464	9410
47	470	9333
48	477	9266
49	485	9233
50	492	9161
51	498	9090
52	504	9021
53	511	8958
54	517	8898
55	524	8843
56	531	8797
57	538	8748
58	545	8695
59	551	8644
60	558	8596
61	568	8593
62	575	8565
63	582	8518
64	588	8470
65	595	8423
66	601	8377
67	607	8332
68	614	8291
69	621	8256
70	628	8219
71	635	8186
72	641	8147
73	647	8107
74	654	8066
75	660	8030
76	666	7994
77	674	7971
78	682	7953
79	688	7920
80	695	7886
81	701	7852
82	709	7835
83	715	7802
84	721	7769
85	728	7739
86	734	7709
87	741	7680
88	747	7650
89	753	7622
90	760	7599
91	767	7575
92	774	7551
93	780	7526
94	787	7503
95	794	7481
96	801	7458
97	807	7433
98	813	7407
99	820	7383
100	826	7358
101	833	7338
102	840	7319
103	847	7299
104	853	7277
105	860	7256
106	866	7233
107	873	7216
108	880	7195
109	887	7176
110	893	7155
111	900	7135
112	906	7114
113	912	7095
114	919	7076
115	926	7057
116	932	7035
117	938	7015
118	945	6996
119	953	6994
120	969	7041
121	982	7070
122	994	7091
123	1010	7140
124	1030	7216
125	1050	7287
126	1072	7368
127	1092	7441
128	1111	7502
129	1131	7573
130	1152	7643
131	1172	7710
132	1190	7757
133	1205	7791
134	1223	7837
135	1237	7858
136	1258	7925
137	1278	7988
138	1292	8006
139	1310	8048
140	1322	8058
141	1338	8085
142	1351	8097
143	1364	8113
144	1377	8121
145	1391	8136
146	1403	8146
147	1424	8202
148	1437	8210
149	1450	8219
150	1463	8228
151	1476	8238
152	1489	8248
153	1503	8257
154	1515	8263
155	1531	8287
156	1544	8294
157	1558	8302
158	1574	8327
159	1587	8334
160	1600	8342
161	1613	8346
162	1626	8351
163	1639	8356
164	1652	8361
165	1664	8364
166	1679	8374
167	1691	8379
168	1704	8381
169	1717	8384
170	1729	8386
171	1743	8390
172	1756	8394
173	1770	8404
174	1784	8410
175	1794	8400
176	1805	8394
177	1814	8379
178	1825	8372
179	1834	8356
180	1848	8366
181	1861	8365
182	1873	8363
183	1885	8359
184	1898	8362
185	1910	8359
186	1922	8358
187	1934	8355
188	1947	8358
189	1961	8364
190	1974	8362
191	1986	8359
192	1998	8354
193	2010	8352
194	2022	8349
195	2034	8346
196	2046	8343
197	2059	8342
198	2071	8338
199	2085	8342
200	2098	8341
201	2110	8338
202	2123	8335
203	2135	8333
204	2147	8328
205	2159	8325
206	2172	8320
207	2184	8317
208	2196	8313
209	2211	8320
210	2225	8320
211	2238	8319
212	2251	8318
213	2265	8320
214	2274	8305
215	2284	8292
216	2293	8276
217	2306	8273
218	2320	8275
219	2343	8307
220	2361	8324
221	2380	8343
222	2396	8351
223	2410	8349
224	2423	8346
225	2436	8343
226	2448	8339
227	2459	8329
228	2472	8324
229	2484	8318
230	2498	8317
231	2513	8322
232	2526	8315
233	2535	8301
234	2543	8278
235	2551	8260
236	2563	8251
237	2569	8227
238	2580	8215
239	2595	8218
240	2608	8216
241	2618	8201
242	2630	8193
243	2640	8182
244	2655	8182
245	2667	8177
246	2681	8173
247	2692	8163
248	2701	8148
249	2712	8137
250	2721	8121
251	2733	8114
252	2747	8110
253	2761	8110
254	2773	8102
255	2786	8099
256	2800	8095
257	2812	8087
258	2825	8084
259	2839	8081
260	2853	8078
261	2867	8076
262	2880	8071
263	2893	8065
264	2905	8059
265	2919	8055
266	2932	8050
267	2940	8032
268	2953	8026
269	2964	8015
270	2978	8012
271	2992	8009
272	3007	8008
273	3028	8025
274	3047	8034
275	3067	8046
276	3084	8051
277	3101	8054
278	3115	8052
279	3128	8045
280	3141	8038
281	3154	8031
282	3167	8025
283	3180	8018
284	3193	8012
285	3211	8018
286	3225	8012
287	3237	8004
288	3251	7999
289	3264	7992
290	3278	7988
291	3298	7998
292	3320	8011
293	3341	8023
294	3361	8033
295	3384	8050
296	3405	8060
297	3428	8076
298	3449	8086
299	3463	8080
300	3476	8073
301	3489	8064
302	3502	8057
303	3517	8052
304	3530	8044
305	3543	8035
306	3557	8029
307	3570	8022
308	3584	8014
309	3596	8005
310	3609	7996
311	3623	7989
312	3638	7986
313	3651	7977
314	3664	7968
315	3678	7962
316	3691	7952
317	3706	7948
318	3718	7939
319	3729	7925
320	3742	7916
321	3754	7906
322	3767	7896
323	3778	7883
324	3797	7886
325	3814	7887
326	3833	7890
327	3847	7882
328	3860	7873
329	3872	7862
330	3885	7853
331	3897	7842
332	3910	7831
333	3922	7821
334	3934	7810
335	3948	7802
336	3960	7791
337	3972	7780
338	3985	7770
339	3997	7759
340	4009	7748
341	4021	7737
342	4039	7737
343	4061	7745
344	4085	7757
345	4103	7755
346	4115	7745
347	4128	7735
348	4146	7734
349	4159	7724
350	4171	7713
351	4184	7703
352	4197	7693
353	4212	7686
354	4232	7690
355	4252	7692
356	4272	7694
357	4291	7696
358	4311	7697
359	4332	7701
360	4351	7702
361	4373	7707
362	4391	7706
363	4404	7695
364	4418	7686
365	4433	7679
366	4452	7680
367	4470	7677
368	4491	7679
369	4511	7680
370	4527	7676
371	4541	7666
372	4561	7666
373	4576	7660
374	4589	7649
375	4602	7638
376	4615	7627
377	4628	7616
378	4641	7605
379	4654	7594
380	4668	7584
381	4680	7571
382	4687	7551
383	4701	7541
384	4713	7528
385	4724	7515
386	4736	7503
387	4748	7490
388	4762	7479
389	4775	7469
390	4801	7478
391	4823	7480
392	4844	7482
393	4862	7478
394	4876	7468
395	4889	7458
396	4903	7448
397	4918	7439
398	4933	7430
399	4946	7420
400	4959	7408
401	4972	7396
402	4989	7391
403	5007	7386
404	5020	7375
405	5033	7364
406	5046	7352
407	5060	7343
408	5079	7339
409	5095	7332
410	5109	7321
411	5122	7310
412	5133	7296
413	5147	7285
414	5157	7270
415	5170	7258
416	5183	7247
417	5196	7235
418	5210	7224
419	5223	7212
420	5236	7201
421	5249	7190
422	5262	7178
423	5276	7167
424	5289	7156
425	5302	7145
426	5316	7134
427	5329	7123
428	5343	7112
429	5356	7101
430	5370	7089
431	5383	7077
432	5396	7066
433	5409	7054
434	5423	7044
435	5438	7034
436	5451	7023
437	5465	7012
438	5478	7001
439	5491	6989
440	5499	6971
441	5505	6950
442	5512	6931
443	5518	6911
444	5525	6890
445	5531	6871
446	5538	6851
447	5546	6834
448	5555	6817
449	5561	6797
450	5572	6782
451	5581	6766
452	5592	6752
453	5601	6736
454	5616	6727
455	5626	6712
456	5633	6693
457	5640	6674
458	5647	6656
459	5653	6636
460	5660	6617
461	5666	6598
462	5675	6582
463	5682	6564
464	5688	6545
465	5695	6526
466	5701	6507
467	5708	6488
468	5714	6470
469	5721	6451
470	5727	6432
471	5733	6414
472	5740	6395
473	5746	6376
474	5753	6358
475	5759	6340
476	5765	6321
477	5772	6303
478	5778	6285
479	5785	6267
480	5792	6249
481	5798	6231
482	5804	6213
483	5811	6195
484	5817	6177
485	5823	6159
486	5829	6141
487	5836	6123
488	5842	6105
489	5853	6092
490	5866	6081
491	5879	6070
492	5892	6060
493	5905	6049
494	5918	6037
495	5931	6026
496	5944	6015
497	5956	6004
498	5969	5993
499	5983	5983
500	5993	5969
501	6002	5954
502	6012	5941
503	6021	5926
504	6032	5913
505	6041	5898
506	6053	5886
507	6065	5874
508	6077	5862
509	6087	5849
510	6096	5834
511	6107	5821
512	6116	5806
513	6125	5791
514	6134	5777
515	6143	5762
516	6152	5748
517	6162	5733
518	6171	5719
519	6180	5704
520	6191	5692
521	6200	5677
522	6210	5664
523	6219	5649
524	6229	5636
525	6240	5623
526	6249	5608
527	6260	5596
528	6270	5583
529	6280	5569
530	6289	5555
531	6302	5544
532	6322	5539
533	6345	5537
534	6372	5538
535	6382	5525
536	6389	5508
537	6395	5492
538	6402	5476
539	6409	5459
540	6415	5443
541	6422	5426
542	6429	5410
543	6435	5394
544	6441	5377
